iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
10,9.555553,235.179993,0.147471,0.162182,1.791667,0.0,0.90251,35009.0,0.125363,0.4492,0.017871,0.103336,-0.017189,0.054371,6.837912,-0.1,-0.001,-0.01,-0.02,-0.2,0.116472,-0.001148,-0.001655,-0.015185,-0.000124,-0.14953,-0.049792,-0.007232,0.156592,-0.026811,-0.011455,-0.055621,-0.025593,0.126156,0.011352,-0.050435,-0.004955,-0.00522,2.833333,0.031196,0.162615,0.371513
11,10.305861,258.040009,0.174021,0.182018,1.086957,0.0,0.893824,39676.0,0.150857,0.49867,0.021651,0.123813,-0.020129,0.061065,6.850683,-0.1,-0.001,-0.01,-0.02,-0.2,0.130823,-0.001276,-0.001431,-0.011814,-0.000148,-0.166092,-0.055716,-0.008369,0.185335,-0.030221,-0.012277,-0.064728,-0.030575,0.129356,0.013182,-0.056094,-0.006984,-0.005716,2.826087,0.029624,0.173955,0.316302
12,12.42861,296.170013,0.190951,0.200281,1.130435,0.0,0.889162,38061.0,0.168021,0.566865,0.024909,0.145207,-0.023554,0.064111,6.847219,-0.1,-0.001,-0.01,-0.02,-0.2,0.146823,-0.001459,-0.001836,-0.009038,-0.000177,-0.184815,-0.061993,-0.009329,0.215058,-0.034018,-0.013644,-0.070278,-0.036771,0.145434,0.014351,-0.06243,-0.013102,-0.008845,3.826087,0.029423,0.168732,0.274727
13,13.450727,312.309998,0.199253,0.210856,0.772727,0.0,0.88114,63873.0,0.176359,0.597196,0.023685,0.144872,-0.023184,0.069416,6.856785,-0.1,-0.001,-0.01,-0.02,-0.2,0.156445,-0.001537,-0.001991,-0.009697,-0.000174,-0.193787,-0.065935,-0.009972,0.217325,-0.035241,-0.014361,-0.076525,-0.036136,0.1548,0.015452,-0.065475,-0.011319,-0.009137,3.045455,0.031782,0.157895,0.279664
14,15.676005,339.75,0.237992,0.231736,0.826087,0.0,0.87147,65428.0,0.186278,0.651045,0.028615,0.169019,-0.027571,0.09273,6.868103,-0.1,-0.001,-0.01,-0.02,-0.2,0.170326,-0.001674,-0.002115,-0.008319,-0.000203,-0.208839,-0.071675,-0.010623,0.248807,-0.039292,-0.015953,-0.081344,-0.042453,0.197702,0.016961,-0.070526,-0.012954,-0.013417,3.565217,0.030628,0.172195,0.267088
15,15.083653,356.059998,0.242934,0.245994,0.913043,0.0,0.863494,64667.0,0.195612,0.705114,0.028129,0.166372,-0.026678,0.090968,6.900884,-0.1,-0.001,-0.01,-0.02,-0.2,0.180346,-0.001756,-0.002447,-0.008454,-0.000198,-0.21741,-0.075097,-0.011216,0.251041,-0.041147,-0.017453,-0.088742,-0.040385,0.204668,0.017431,-0.073696,-0.019037,-0.013809,3.608696,0.028737,0.168636,0.294275
16,17.425928,389.119995,0.251401,0.282208,0.458333,0.0,0.854678,63349.0,0.211313,0.718559,0.028332,0.172541,-0.027406,0.088024,6.887959,-0.1,-0.001,-0.01,-0.02,-0.2,0.194598,-0.001903,-0.002472,-0.005736,-0.000217,-0.233177,-0.079146,-0.012405,0.268353,-0.042778,-0.017768,-0.091705,-0.044594,0.220788,0.019956,-0.078848,-0.011774,-0.011692,3.791667,0.033342,0.145427,0.260226
17,17.736595,401.059998,0.261111,0.280303,0.583333,0.0,0.849621,61518.0,0.226118,0.800201,0.030472,0.187527,-0.029225,0.095436,6.902761,-0.1,-0.001,-0.01,-0.02,-0.2,0.204344,-0.001992,-0.002651,-0.003917,-0.00023,-0.243186,-0.083487,-0.012853,0.285937,-0.046012,-0.018289,-0.098234,-0.047626,0.213661,0.019746,-0.082494,-0.01384,-0.009985,3.541667,0.025534,0.170636,0.194497
18,19.856817,426.220001,0.264696,0.300525,0.608696,0.0,0.841825,63059.0,0.23011,0.838295,0.034761,0.218811,-0.034906,0.119091,6.888504,-0.1,-0.001,-0.01,-0.02,-0.2,0.213472,-0.002084,-0.002768,-0.005086,-0.000269,-0.251058,-0.087932,-0.013479,0.323717,-0.0478,-0.019193,-0.102571,-0.054798,0.245896,0.021683,-0.085084,-0.025731,-0.021537,3.695652,0.028409,0.173699,0.220743
19,20.560696,450.209991,0.289299,0.320351,0.5,0.0,0.836878,62221.0,0.248283,0.862663,0.036331,0.212754,-0.034688,0.11276,6.897514,-0.1,-0.001,-0.01,-0.02,-0.2,0.22622,-0.002176,-0.003107,-0.005861,-0.000266,-0.262234,-0.090752,-0.01406,0.331535,-0.049025,-0.020653,-0.106263,-0.054242,0.257916,0.02319,-0.088988,-0.0221,-0.024653,3.0,0.028207,0.147742,0.228886
20,21.569204,474.179993,0.31601,0.350292,0.5,0.0,0.83086,63886.0,0.257677,0.898353,0.037501,0.227094,-0.036256,0.120393,6.910512,-0.1,-0.001,-0.01,-0.02,-0.2,0.237913,-0.002313,-0.003578,-0.005861,-0.000277,-0.274642,-0.096284,-0.014694,0.343256,-0.051402,-0.021871,-0.112165,-0.056755,0.275027,0.025232,-0.093149,-0.034336,-0.023834,3.166667,0.023932,0.155934,0.21735
21,23.166563,497.140015,0.335705,0.36376,0.5,0.0,0.82597,66457.0,0.273985,0.969967,0.040509,0.243237,-0.038448,0.118511,6.925846,-0.1,-0.001,-0.01,-0.02,-0.2,0.255002,-0.002471,-0.003191,-0.00475,-0.000302,-0.290856,-0.101333,-0.015728,0.374831,-0.05587,-0.022876,-0.118168,-0.061722,0.281923,0.026145,-0.098716,-0.02541,-0.02631,3.041667,0.026699,0.161483,0.202625
22,25.397903,533.22998,0.366277,0.376447,0.304348,0.0,0.821468,66229.0,0.281453,1.023732,0.041623,0.251819,-0.041224,0.141346,6.947024,-0.1,-0.001,-0.01,-0.02,-0.2,0.267755,-0.002564,-0.003446,-0.003188,-0.000317,-0.300559,-0.107005,-0.016503,0.3947,-0.057446,-0.024557,-0.128762,-0.065347,0.326453,0.027499,-0.102237,-0.021723,-0.020848,3.608696,0.024715,0.140321,0.171787
23,26.933781,549.340027,0.372052,0.388723,0.375,0.0,0.815993,65891.0,0.295372,1.063009,0.04327,0.270719,-0.041362,0.144148,6.994066,-0.1,-0.001,-0.01,-0.02,-0.2,0.276961,-0.002718,-0.003458,-0.002926,-0.000333,-0.309692,-0.109928,-0.016886,0.404671,-0.059868,-0.023741,-0.126768,-0.069618,0.317322,0.028644,-0.105215,-0.030972,-0.028737,3.291667,0.029034,0.148831,0.166341
24,26.31794,561.599976,0.361565,0.404534,0.583333,0.0,0.811409,65632.0,0.300022,1.05042,0.04222,0.272708,-0.042447,0.143882,7.001822,-0.1,-0.001,-0.01,-0.02,-0.2,0.28211,-0.002753,-0.003938,-0.005349,-0.000347,-0.311507,-0.109715,-0.017159,0.417747,-0.058721,-0.024866,-0.130218,-0.071563,0.306913,0.031339,-0.106089,-0.031442,-0.029521,3.375,0.024115,0.165076,0.191871
25,27.795992,586.5,0.418179,0.420695,0.5,0.0,0.806046,66645.0,0.305051,1.099189,0.045594,0.267799,-0.043276,0.141305,7.039706,-0.1,-0.001,-0.01,-0.02,-0.2,0.29814,-0.002834,-0.003488,-0.003762,-0.00033,-0.32704,-0.118159,-0.018205,0.422362,-0.062904,-0.026886,-0.139965,-0.068815,0.350214,0.032967,-0.111374,-0.025693,-0.035722,3.25,0.026731,0.135912,0.179928
26,28.558102,600.640015,0.412562,0.435383,0.916667,0.0,0.800027,64449.0,0.314329,1.138788,0.047456,0.279053,-0.045783,0.159643,7.08196,-0.1,-0.001,-0.01,-0.02,-0.2,0.300232,-0.00286,-0.003565,-0.008713,-0.000347,-0.326876,-0.117521,-0.018286,0.43833,-0.064615,-0.027891,-0.139962,-0.071932,0.340327,0.03058,-0.111321,-0.029749,-0.042282,3.166667,0.025712,0.197353,0.209807
27,31.186083,638.059998,0.445049,0.447248,0.416667,0.0,0.794547,66289.0,0.332226,1.223318,0.052989,0.304902,-0.049088,0.187518,7.090779,-0.1,-0.001,-0.01,-0.02,-0.2,0.319514,-0.003044,-0.003907,-0.004972,-0.000374,-0.345357,-0.124645,-0.019419,0.469583,-0.067199,-0.028576,-0.147165,-0.076973,0.382156,0.033586,-0.117725,-0.039708,-0.031038,3.458333,0.021348,0.159982,0.212098
28,32.65723,639.669983,0.442093,0.475844,0.833333,0.0,0.789934,67785.0,0.322802,1.212079,0.054931,0.311004,-0.050933,0.198957,7.136122,-0.1,-0.001,-0.01,-0.02,-0.2,0.318187,-0.002999,-0.003732,-0.008425,-0.000376,-0.338665,-0.122712,-0.019082,0.478941,-0.067391,-0.029138,-0.14678,-0.077373,0.396339,0.03358,-0.115546,-0.057379,-0.058936,2.958333,0.025845,0.193687,0.196492
29,33.626682,670.590027,0.448873,0.496468,0.833333,0.0,0.784871,63882.0,0.330846,1.259709,0.052759,0.311048,-0.050333,0.2058,7.135655,-0.1,-0.001,-0.01,-0.02,-0.2,0.335105,-0.003209,-0.00461,-0.007704,-0.000384,-0.355138,-0.129649,-0.02026,0.482132,-0.069075,-0.030224,-0.153858,-0.080004,0.445953,0.037179,-0.121429,-0.028182,-0.037582,3.375,0.026219,0.160239,0.198086
30,35.04974,677.429993,0.482219,0.486895,0.666667,0.0,0.779745,63055.0,0.341276,1.30243,0.053512,0.315,-0.053222,0.191426,7.152369,-0.1,-0.001,-0.01,-0.02,-0.2,0.340865,-0.003266,-0.004538,-0.009319,-0.000404,-0.358387,-0.134416,-0.020487,0.499141,-0.071442,-0.030817,-0.161249,-0.083652,0.440606,0.035979,-0.122325,-0.046237,-0.033581,2.958333,0.026192,0.20187,0.281134
31,36.742634,697.309998,0.520453,0.52438,0.958333,0.0,0.776267,66144.0,0.363203,1.31357,0.052559,0.328467,-0.054583,0.209977,7.173024,-0.1,-0.001,-0.01,-0.02,-0.2,0.350942,-0.0033,-0.004071,-0.00831,-0.000406,-0.364107,-0.134407,-0.020988,0.512431,-0.072739,-0.031983,-0.165215,-0.082906,0.444108,0.038105,-0.124572,-0.035932,-0.050305,3.291667,0.021039,0.185028,0.240958
32,35.733776,717.119995,0.481351,0.52477,0.541667,0.0,0.77077,66773.0,0.354461,1.35463,0.054084,0.306307,-0.052039,0.188552,7.187402,-0.1,-0.001,-0.01,-0.02,-0.2,0.359376,-0.003391,-0.004696,-0.006056,-0.000382,-0.37118,-0.138578,-0.021264,0.4931,-0.075291,-0.03275,-0.169117,-0.079988,0.481254,0.038461,-0.127146,-0.041906,-0.037211,2.958333,0.022029,0.150711,0.19783
33,39.292786,745.940002,0.503505,0.532687,1.391304,0.0,0.765983,68445.0,0.353755,1.361961,0.059443,0.338979,-0.057825,0.216934,7.192802,-0.1,-0.001,-0.01,-0.02,-0.2,0.358641,-0.003371,-0.004693,-0.011994,-0.000418,-0.365204,-0.13639,-0.020897,0.528187,-0.074407,-0.032426,-0.165487,-0.087124,0.473649,0.038093,-0.125195,-0.026663,-0.040944,3.73913,0.022456,0.229862,0.315232
34,39.907246,785.049988,0.537511,0.588391,0.791667,0.0,0.761082,67861.0,0.387367,1.465243,0.056829,0.348323,-0.056945,0.218174,7.201334,-0.1,-0.001,-0.01,-0.02,-0.2,0.392637,-0.003697,-0.004937,-0.008236,-0.000437,-0.39778,-0.147449,-0.023047,0.550181,-0.080045,-0.034067,-0.180805,-0.09071,0.524138,0.042975,-0.136524,-0.040727,-0.054655,3.5,0.024097,0.197069,0.240281
35,41.558647,806.5,0.548482,0.609509,0.5,0.0,0.755826,67575.0,0.38058,1.522572,0.06481,0.365883,-0.061057,0.247455,7.220731,-0.1,-0.001,-0.01,-0.02,-0.2,0.405725,-0.003841,-0.004548,-0.005306,-0.000453,-0.409067,-0.155793,-0.023592,0.578345,-0.082576,-0.035982,-0.185447,-0.094115,0.601718,0.045264,-0.140243,-0.077378,-0.076058,2.958333,0.025019,0.145508,0.180821
36,46.252762,825.799988,0.598547,0.614151,0.708333,0.0,0.752072,65483.0,0.398741,1.544643,0.070335,0.406351,-0.06832,0.303775,7.224169,-0.1,-0.001,-0.01,-0.02,-0.2,0.415855,-0.003855,-0.005695,-0.007766,-0.000506,-0.417997,-0.155106,-0.024727,0.637562,-0.083371,-0.037775,-0.195354,-0.104328,0.595092,0.046779,-0.143537,-0.061385,-0.072991,3.125,0.023666,0.161562,0.241262
37,46.149559,842.599976,0.602312,0.60839,0.652174,0.0,0.747948,66422.0,0.401744,1.599872,0.070062,0.395618,-0.067386,0.281747,7.245505,-0.1,-0.001,-0.01,-0.02,-0.2,0.418994,-0.00392,-0.005613,-0.008007,-0.000488,-0.418017,-0.159311,-0.024679,0.621213,-0.086771,-0.037798,-0.195284,-0.10209,0.598319,0.044853,-0.143718,-0.041073,-0.04464,3.304348,0.023748,0.154712,0.208421
38,45.334667,831.169983,0.602968,0.644483,0.727273,0.0,0.742827,72478.0,0.399339,1.591767,0.062282,0.385791,-0.06469,0.279733,7.280813,-0.1,-0.001,-0.01,-0.02,-0.2,0.42254,-0.003994,-0.005403,-0.008091,-0.000491,-0.417211,-0.160477,-0.024809,0.609822,-0.085763,-0.036968,-0.195485,-0.102565,0.62974,0.045299,-0.143454,-0.044056,-0.044476,2.863636,0.026211,0.164914,0.240258
39,47.428425,872.809998,0.617179,0.654644,0.666667,0.0,0.739556,67092.0,0.423618,1.680558,0.07225,0.393306,-0.067819,0.292626,7.278957,-0.1,-0.001,-0.01,-0.02,-0.2,0.43912,-0.004028,-0.005573,-0.006563,-0.000476,-0.432176,-0.164602,-0.025413,0.630414,-0.09012,-0.03999,-0.203278,-0.099241,0.649181,0.046182,-0.148867,-0.055746,-0.057981,3.666667,0.024921,0.168692,0.21307
40,51.822575,918.440002,0.659803,0.680792,0.521739,0.0,0.735655,67045.0,0.42831,1.754816,0.075713,0.436262,-0.073303,0.330993,7.301762,-0.1,-0.001,-0.01,-0.02,-0.2,0.462294,-0.004312,-0.005337,-0.004944,-0.000534,-0.450287,-0.173777,-0.026906,0.679014,-0.094285,-0.041571,-0.212441,-0.11131,0.699635,0.05037,-0.15522,-0.048605,-0.063114,3.478261,0.01936,0.145834,0.204113
41,51.244907,926.679993,0.655746,0.685355,0.652174,0.0,0.731912,68026.0,0.416432,1.702236,0.075959,0.440893,-0.074184,0.351609,7.29121,-0.1,-0.001,-0.01,-0.02,-0.2,0.458788,-0.004261,-0.006316,-0.006602,-0.000546,-0.440669,-0.169336,-0.026611,0.691209,-0.090894,-0.040352,-0.210685,-0.113471,0.714105,0.051246,-0.151954,-0.081165,-0.099028,3.347826,0.019192,0.150709,0.200476
42,55.222385,962.47998,0.670477,0.718515,0.434783,0.0,0.727095,68259.0,0.429773,1.766048,0.069319,0.425245,-0.070675,0.326084,7.319715,-0.1,-0.001,-0.01,-0.02,-0.2,0.475006,-0.004456,-0.006573,-0.003007,-0.000529,-0.45373,-0.175853,-0.027517,0.676265,-0.094076,-0.041438,-0.217731,-0.109243,0.761548,0.05432,-0.156659,-0.050238,-0.066297,5.304348,0.021508,0.131266,0.151364
43,56.052502,961.390015,0.707225,0.723303,0.291667,0.0,0.721786,64082.0,0.436991,1.845248,0.081365,0.455085,-0.07731,0.377935,7.32251,-0.1,-0.001,-0.01,-0.02,-0.2,0.488294,-0.004532,-0.007046,-0.001375,-0.000553,-0.460961,-0.183943,-0.028533,0.722459,-0.097622,-0.043552,-0.224098,-0.116164,0.792536,0.053211,-0.159295,-0.054426,-0.073418,8.041667,0.019103,0.120191,0.130169
44,57.960655,985.349976,0.721036,0.742591,0.375,0.0,0.718263,63571.0,0.43963,1.838585,0.079452,0.440129,-0.07685,0.364664,7.3462,-0.1,-0.001,-0.01,-0.02,-0.2,0.48595,-0.004462,-0.006282,-0.002017,-0.000535,-0.448654,-0.181409,-0.02813,0.709887,-0.097857,-0.043645,-0.225296,-0.112409,0.800898,0.053139,-0.155403,-0.074509,-0.083002,8.666667,0.018755,0.113914,0.155316
45,55.213921,933.190002,0.694301,0.73574,0.666667,0.0,0.71335,68575.0,0.435128,1.807329,0.077164,0.42904,-0.075641,0.357233,7.352334,-0.1,-0.001,-0.01,-0.02,-0.2,0.481503,-0.004414,-0.006281,-0.002738,-0.000528,-0.438717,-0.178316,-0.027547,0.696839,-0.095252,-0.043495,-0.223174,-0.110997,0.779359,0.053661,-0.152221,-0.057998,-0.068989,8.958334,0.020003,0.123196,0.159497
46,58.691715,970.48999,0.711768,0.740466,0.541667,0.0,0.708828,64628.0,0.431836,1.807971,0.079021,0.445868,-0.078168,0.378928,7.352678,-0.1,-0.001,-0.01,-0.02,-0.2,0.481159,-0.004387,-0.006218,-0.002413,-0.000546,-0.429792,-0.176571,-0.027578,0.712042,-0.095266,-0.043132,-0.222081,-0.11488,0.78516,0.054069,-0.149535,-0.067916,-0.079516,8.041667,0.018149,0.113734,0.152814
47,58.614292,972.210022,0.707972,0.731126,0.458333,0.041667,0.704918,66523.0,0.427171,1.812377,0.07604,0.434036,-0.075215,0.363792,7.349167,-0.1,-0.001,-0.01,-0.02,-0.2,0.480824,-0.004404,-0.006299,-0.002655,-0.000542,-0.423218,-0.172964,-0.027477,0.703327,-0.091502,-0.04144,-0.216184,-0.114658,0.79982,0.055064,-0.147367,-0.067146,-0.069174,7.833333,0.019267,0.123451,0.16152
48,61.180515,973.940002,0.711315,0.742983,0.458333,0.0,0.701509,65299.0,0.413771,1.790906,0.081752,0.45062,-0.079022,0.414073,7.379797,-0.1,-0.001,-0.01,-0.02,-0.2,0.480647,-0.004361,-0.006873,-0.002761,-0.000551,-0.415935,-0.173386,-0.027356,0.719616,-0.091379,-0.042369,-0.217765,-0.115793,0.846147,0.055957,-0.145123,-0.097523,-0.090146,6.208333,0.016998,0.117161,0.14994
49,60.598309,955.0,0.725711,0.752461,0.541667,0.0,0.698026,64941.0,0.405413,1.792121,0.077782,0.438361,-0.07907,0.420363,7.3666,-0.1,-0.001,-0.01,-0.02,-0.2,0.481393,-0.004365,-0.006433,-0.00369,-0.000544,-0.410868,-0.175795,-0.027455,0.715504,-0.093533,-0.043608,-0.224733,-0.113658,0.873029,0.054489,-0.143387,-0.072777,-0.102356,5.916667,0.020439,0.115091,0.154945
50,63.154049,978.359985,0.752409,0.771451,0.291667,0.0,0.693783,67918.0,0.4134,1.864017,0.079466,0.431813,-0.077041,0.414247,7.385181,-0.1,-0.001,-0.01,-0.02,-0.2,0.493213,-0.004403,-0.00578,-0.001944,-0.000519,-0.414674,-0.176832,-0.027926,0.711368,-0.094916,-0.044115,-0.223092,-0.108986,0.911247,0.055334,-0.145101,-0.062898,-0.087248,5.458333,0.01752,0.121545,0.13366
51,62.045078,944.47998,0.73856,0.750351,0.541667,0.0,0.68987,67020.0,0.400657,1.786546,0.07586,0.431442,-0.077922,0.416658,7.381119,-0.1,-0.001,-0.01,-0.02,-0.2,0.476579,-0.004327,-0.006728,-0.00403,-0.000528,-0.394724,-0.173905,-0.026783,0.700572,-0.091468,-0.042581,-0.222316,-0.110841,0.890822,0.05451,-0.138454,-0.065432,-0.07483,4.625,0.018042,0.125164,0.177547
52,62.695953,954.590027,0.757496,0.752435,0.333333,0.0,0.685333,68717.0,0.398901,1.766412,0.078725,0.44812,-0.079402,0.43763,7.366897,-0.1,-0.001,-0.01,-0.02,-0.2,0.479683,-0.004313,-0.006387,-0.002861,-0.000549,-0.390944,-0.170627,-0.026769,0.719054,-0.089403,-0.04267,-0.214883,-0.114885,0.893127,0.057047,-0.137405,-0.071597,-0.086108,4.0,0.018303,0.120388,0.16327
53,63.117241,936.809998,0.770817,0.750881,0.318182,0.0,0.680951,68552.0,0.388597,1.798134,0.081906,0.452302,-0.08111,0.465434,7.399286,-0.1,-0.001,-0.01,-0.02,-0.2,0.477697,-0.004212,-0.007271,-0.002828,-0.000536,-0.385197,-0.172852,-0.027126,0.71896,-0.090803,-0.043591,-0.223723,-0.112591,0.914103,0.053844,-0.135588,-0.064288,-0.081024,3.590909,0.018744,0.122371,0.176019
54,64.437492,963.570007,0.748872,0.763063,0.363636,0.045455,0.676885,68258.0,0.401079,1.806135,0.080874,0.455233,-0.081454,0.453439,7.351901,-0.1,-0.001,-0.01,-0.02,-0.2,0.483864,-0.004323,-0.007459,-0.003152,-0.000555,-0.384234,-0.172452,-0.027215,0.730586,-0.090545,-0.043088,-0.219308,-0.114409,0.887857,0.056789,-0.135748,-0.055951,-0.093898,4.318182,0.019618,0.109178,0.15225
55,64.477898,948.26001,0.748186,0.767008,0.318182,0.0,0.674298,65688.0,0.390932,1.816276,0.080397,0.447872,-0.082521,0.467246,7.379821,-0.1,-0.001,-0.01,-0.02,-0.2,0.481014,-0.004232,-0.006439,-0.002947,-0.00053,-0.377425,-0.170179,-0.026343,0.717078,-0.090281,-0.043557,-0.223264,-0.110148,0.930917,0.055598,-0.133406,-0.050796,-0.073096,3.863636,0.020611,0.113937,0.149187
56,66.574265,987.0,0.791676,0.804598,0.045455,0.0,0.671472,70076.0,0.3958,1.85601,0.076295,0.424815,-0.078334,0.472598,7.378674,-0.1,-0.001,-0.01,-0.02,-0.2,0.49851,-0.00433,-0.006672,-0.000303,-0.000506,-0.387583,-0.176853,-0.027637,0.717214,-0.094546,-0.046019,-0.231874,-0.102796,0.993365,0.057548,-0.13674,-0.076842,-0.104746,3.772727,0.014431,0.081697,0.127474
57,69.357651,1000.0,0.787106,0.803465,0.0,0.0,0.667562,67263.0,0.387305,1.871579,0.083706,0.467793,-0.085398,0.526003,7.403697,-0.1,-0.001,-0.01,-0.02,-0.2,0.500007,-0.004348,-0.006836,0.0,-0.000557,-0.385085,-0.173757,-0.027785,0.757024,-0.09184,-0.044872,-0.22885,-0.116753,1.018043,0.058898,-0.13645,-0.072764,-0.080117,3.958333,0.015959,0.080765,0.111699
